slug,title,word_count,under_400_words,generic_phrases,generic_phrase_count,templated_opening_shared_with_n,missing_image,is_illustration_not_photo,duplicate_image_with,cuisine,category
sausage-rolls,Sausage Rolls,509,,,0,,,yes,,British,Baking
tonkatsu,Tonkatsu,509,,,0,,,yes,,Japanese,Dinner
kabkabou,Kabkabou,510,,,0,,,,,Tunisian,Dinner
pollo-al-ajillo,Pollo al Ajillo,510,,,0,,,yes,,Spanish,Dinner
chorba-frik,Chorba Frik,511,,,0,,,yes,,Tunisian,Lunch
karniyarik,Karnıyarık,511,,,0,,,yes,,Turkish,Dinner
pesto-pasta,Pesto Pasta,511,,,0,,,,,Italian,Quick Meals
piperade,Pipérade,511,,,0,,,,,French,Lunch
ras-malai,Ras Malai,511,,,0,,,,,Indian,Desserts
london-particular,London Particular,512,,,0,,yes,,,British,Lunch
oeufs-mayonnaise,Œufs Mayonnaise,512,,,0,,,,,French,Appetizers
pease-pudding,Pease Pudding,512,,,0,,,yes,,British,Dinner
smoothie-bowl,Berry Smoothie Bowl,512,,,0,,,,,International,Breakfast
brik,Tunisian Brik,514,,,0,,,,,Tunisian,Appetizers
esquites,Esquites,514,,,0,,,yes,,Mexican,Appetizers
fish-tikka,Fish Tikka,514,,,0,,yes,,,Indian,Appetizers
goulash-masri,Goulash Masri,514,,,0,,,,,Egyptian,Dinner
pasta-con-le-sarde,Pasta con le Sarde,514,,,0,,,,,Italian,Dinner
peperonata,Peperonata,514,,,0,,,,,Italian,Dinner
shiro-wat,Shiro Wat,514,,,0,,yes,,,Ethiopian,Dinner
arayes,Arayes,515,,,0,,,,,Lebanese,Quick Meals
baked-avocado-eggs,Baked Avocado Eggs,515,,,0,,,,,American,Breakfast
cotoletta-alla-milanese,Cotoletta alla Milanese,515,,,0,,,,,Italian,Dinner
entrecote-marchand-de-vin,Entrecôte Marchand de Vin,515,,,0,,,yes,,French,Dinner
kunafa-bil-manga,Kunafa bil Manga,515,,,0,,,,,Egyptian,Desserts
dulce-de-leche,Dulce de Leche,516,,,0,,,,,Argentinian,Desserts
puttanesca,Spaghetti alla Puttanesca,516,,,0,,,yes,,Italian,Dinner
rumbledethumps,Rumbledethumps,516,,,0,,yes,,,Scottish,Dinner
kachumbari,Kachumbari,517,,,0,,,,,Kenyan,Healthy
saucisson-brioche,Saucisson en Brioche,517,,,0,,,,,French,Appetizers
stroopwafel,Stroopwafels,517,,,0,,,,,Dutch,Desserts
baleadas,Baleadas,518,,,0,,,,,International,Breakfast
corn-chowder,Corn Chowder,518,,,0,,,,,American,Lunch
eccles-cakes,Eccles Cakes,518,,,0,,,,,British,Baking
malabi,Malabi,518,,,0,,,,,Israeli,Desserts
sloppy-joe-mix,Sloppy Joe Skillet,518,,,0,,,yes,,American,Dinner
summer-pudding,Summer Pudding,518,,,0,,,,,British,Desserts
agnolotti,Agnolotti del Plin,519,,,0,,,,,Italian,Dinner
celeri-remoulade,Céleri Rémoulade,519,,,0,,,,,French,Appetizers
galettes-bretonnes,Galettes Bretonnes,519,,,0,,,,,French,Lunch
grilled-cheese-sandwich,Skillet Grilled Cheese,519,,,0,,,,,American,Quick Meals
